ticker,Jumlah,Kategori,Nama,Pengendali,Persentase
INDX,246474041.0,Lebih dari 5%,Equatorex Sdn Bhd,True,56.28
INDY,1968882699.0,Lebih dari 5%,PT Indika Inti Investindo,True,37.79
INKP,2913477898.0,Lebih dari 5%,PT Purinusa Ekapersada,True,53.2533
INOV,823499675.0,Lebih dari 5%,PT Hilon Indonesia,True,45.54
INPC,825529472.0,Lebih dari 5%,PT. PUSPITA BISNISPURI,False,5.23
INPP,2012754912.0,Lebih dari 5%,Elysium Investment Partners Ltd,False,18.0
INPS,479118540.0,Lebih dari 5%,PT Surya Perkasa Sentosa,True,73.71
INRU,1283649894.0,Lebih dari 5%,Pinnacle Company Pte. Ltd.,True,92.42
INSA,,,,,
INTA,579054492.0,Lebih dari 5%,Jimmy Halim,False,17.4
INTD,323940000.0,Lebih dari 5%,Peak Aim Depelopment Limited,True,54.74
INTP,1877480863.0,Lebih dari 5%,Birchwood Omnia Ltd.,True,51.0
IPCC,1296144749.0,Lebih dari 5%,PT Pelabuhan Indonesia II,True,71.28
IPCM,4063504600.0,Lebih dari 5%,PT Pelabuhan Indonesia II (Persero),True,76.89
IPOL,1826147210.0,Lebih dari 5%,PT Supernova Flexible Packaging,False,28.34
IPTV,25601076691.0,Lebih dari 5%,PT Global Mediacom Tbk.,True,67.72
IRRA,1116000000.0,Lebih dari 5%,PT Global Dinamika Kencana,True,69.75
ISAT,3532056600.0,Lebih dari 5%,Ooredoo Asia Pte. Ltd,True,65.0
ISSP,4020063930.0,Lebih dari 5%,PT Cakra Bhakti Para Putra,True,55.94
ITIC,66000000.0,Lebih dari 5%,PT Anugerah Investindo Nusantara,True,7.02
ITMA,298598000.0,Lebih dari 5%,Trust Energy Resources Pte Ltd,False,34.3
ITMG,736071000.0,Lebih dari 5%,Banpu Minerals (Singapore) Private Limited,True,65.14
JAST,434078130.0,Lebih dari 5%,PT Persada Inti Sejahtera,True,53.35
JAWA,3019748385.0,Lebih dari 5%,PT SARANA AGRO INVESTAMA,False,79.999
JAYA,110940100.0,Lebih dari 5%,PT Prima Globalindo Logistik,False,30.25
JECC,20430000.0,Lebih dari 5%,FUJIKURA LTD,False,13.51
JGLE,8753037308.0,Lebih dari 5%,PT Surya Global Nusantara,False,38.761
JIHD,306243700.0,Lebih dari 5%,Tomy Winata,False,13.15
JKON,9929587750.0,Lebih dari 5%,PT Pembangunan Jaya,True,60.89
JKSW,,,,,
JMAS,531000000.0,Lebih dari 5%,"Koperasi Simpan Pinjam ""Jasa""",True,53.1
JPFA,6216163616.0,Lebih dari 5%,Japfa Ltd,True,53.01
JRPT,8744075000.0,Lebih dari 5%,PT PEMBANGUNAN JAYA ,True,63.59
JSKY,134100000.0,Lebih dari 5%,Hitachi High Technologies Pte. Ltd,False,6.6
JSMR,5080509840.0,Lebih dari 5%,Negara Republik Indonesia,True,70.0
JSPT,1337239448.0,Lebih dari 5%,PT Jan Darmadi Investindo,True,57.671
JTPE,782397500.0,Lebih dari 5%,PT. JASUINDO MULTI INVESTAMA,True,45.67
KAEF,4999999999.0,Lebih dari 5%,PT BIOFARMA,True,90.025
KARW,470830500.0,Lebih dari 5%,ICTSI Far East Pte Ltd,True,80.19
KAYU,360500000.0,Lebih dari 5%,PT Darbe Putra Makmur,True,54.21
KBAG,4250000000.0,Lebih dari 5%,PT Visi Kota Indonesia,True,59.44
KBLI,1982392237.0,Lebih dari 5%,DENHAM PTE. LTD,True,49.47
KBLM,389000000.0,Lebih dari 5%,PT Tutulan Sukma,True,34.73
KBLV,588167378.0,Lebih dari 5%,PT Reksa Puspita Karya,False,33.76
KBRI,920927523.0,Lebih dari 5%,Quest Corporation,False,10.6
KDSI,317691000.0,Lebih dari 5%,PT. KITASUBUR UTAMA,True,78.44
KEEN,1110920000.0,Lebih dari 5%,PT Paramata Indah Lestari,True,30.3
KEJU,540000000.0,Lebih dari 5%,Lie Po Fung (Jaya),False,36.0
KIAS,13741458453.0,Lebih dari 5%,"SCG Building Materials Co., Ltd.",True,92.04
KICI,120390280.0,Lebih dari 5%,PT Kedawung Subur,True,43.62
KIJA,2352456572.0,Lebih dari 5%,Islamic Development Bank ,False,11.296
KINO,158076100.0,Lebih dari 5%,DBSSG S/A Nusantara FMCG LimitedDBSSG S/A NUSANTARA FMCG LIMITED,False,11.065
KIOS,350300000.0,Lebih dari 5%,PT Artav Mobile Indonesia,True,48.84
KJEN,262500000.0,Lebih dari 5%,PT Grafindo Karya Nusantara,True,52.5
KKGI,398287500.0,Lebih dari 5%,UBS AG SINGAPORE NON-TREATY OMNIBUS ACCOUNT - 2091144090 ,False,7.97
KLBF,4023373640.0,Lebih dari 5%,"Bina Artha Charisma, PT",True,8.58
KMDS,609523811.0,Lebih dari 5%,PT Miki Ojisan Indomitra,True,76.19
KMTR,2464609474.0,Lebih dari 5%,PT Triputra Persada Megatara,False,30.0
KOBX,2009350000.0,Lebih dari 5%,PT Kobexindo Investama,True,88.42
KOIN,888836488.0,Lebih dari 5%,SCG Distribution Company Limited,True,90.62
KONI,97520000.0,Lebih dari 5%,PT. Dasabina Adityasarana,True,64.16
KOPI,508001397.0,Lebih dari 5%,PT MULYA TARA MANDIRI,True,72.86
KOTA,7666000000.0,Lebih dari 5%,PT DMS Investama,True,73.0
KPAL,212867000.0,Lebih dari 5%,Eddy Kurniawan Logam,True,19.91
KPAS,215000000.0,Lebih dari 5%,Marting Djapar,True,27.99
KPIG,15725026164.0,Lebih dari 5%,UOB Kay Hian Hong Kong Ltd ,False,19.5
KRAH,697540000.0,Lebih dari 5%,PT Sutardja Dinamika Cipta,True,71.82
KRAS,15477117520.0,Lebih dari 5%,Negara Republik Indonesia,True,80.0
KREN,2951400334.0,Lebih dari 5%,PT Kresna Prima Invest,True,16.21
LAND,1029853200.0,Lebih dari 5%,PT Graha Mulia Indotama,True,36.88
LAPD,322438500.0,Lebih dari 5%,Nany Indrawaty Sutanto,True,8.13
LCGP,398150.0,Lebih dari 5%,YAYASAN KESEHATAN BANK MANDIRI,False,7.072
LCKM,625220200.0,Lebih dari 5%,PT LCK Investama Prima Indonesia,True,62.53
LEAD,1295019000.0,Lebih dari 5%,Alstonia Offshore Pte. Ltd.,True,31.98
LIFE,262500000.0,Lebih dari 5%,PT Sinar Mas Multiartha Tbk.,False,12.5
LINK,798969286.0,Lebih dari 5%,PT First Media Tbk.,False,27.9
LION,150060000.0,Lebih dari 5%,LION HOLDINGS (PTE) LTD,True,28.85
LMAS,403260050.0,Lebih dari 5%,Itek Bachtiar,True,51.18
LMPI,179313291.0,Lebih dari 5%,PT LANGGENG BAHAGIA,True,17.78
LMSH,24527000.0,Lebih dari 5%,LION HOLDINGS PTE LTD ,True,25.549
LPCK,2085811178.0,Lebih dari 5%,"KEMUNING SATIATAMA, PT",True,77.84
LPGI,29697500.0,Lebih dari 5%,PT Star Pacific Tbk,False,19.8
LPIN,347246400.0,Lebih dari 5%,"MULTIPOLAR,PT,TBK",True,82.0
LPKR,18857156727.0,Lebih dari 5%,PT Inti Anugerah Pratama ,True,26.59
LPLI,667237809.0,Lebih dari 5%,PT Inti Anugerah Pratama,True,57.01
LPPF,509992000.0,Lebih dari 5%,PT Multipolar Tbk,False,19.42
LPPS,1747636749.0,Lebih dari 5%,PT Inti Anugerah Pratama,True,67.52
LRNA,199999998.0,Lebih dari 5%,PT Lorena,True,57.14
LSIP,4058425010.0,Lebih dari 5%,PT Salim Ivomas Pratama Tbk,True,59.48
LTLS,853432000.0,Lebih dari 5%,PT Caturkarsa  Megatunggal,True,54.7
LUCK,208998900.0,Lebih dari 5%,Caroline Himawati Hidajat,True,29.2
MABA,2329493800.0,Lebih dari 5%,PT Saligading Bersama,True,15.16
MAGP,4500000000.0,Lebih dari 5%,PT Santika Griya Persada,True,50.0
MAIN,1282143142.0,Lebih dari 5%,DRAGON AMITY PTE LTD,True,57.27
MAMI,0.0,Lebih dari 5%,PT SENTRATAMA KENCANA,True,0.0
MAPA,1962299080.0,Lebih dari 5%,PT Mitra Adiperkasa Tbk.,True,68.843
MAPB,1717197138.0,Lebih dari 5%,PT Mitra Adiperkasa Tbk.,True,79.1
MAPI,8466000000.0,Lebih dari 5%,PT Satya Mulia Gema Gemilang,True,51.0
MARI,546883062.0,Lebih dari 5%,PT Mahaka Media,False,10.41
MARK,2995238555.0,Lebih dari 5%,Tecable (HK) Co Limited,True,78.82
MASA,9149766702.0,Lebih dari 5%,SOCGEN SA COMPAGNIE GENERALE DES ETABLISSEMENTS MICHELIN,True,99.64
MAYA,499321426.0,Lebih dari 5%,Unity Rise Limited,False,7.31
MBAP,368181600.0,Lebih dari 5%,"Idemitsu Kosan Co., Ltd",False,30.0
MBSS,449441414.0,Lebih dari 5%,UBS AG SINGAPORE S/A CHINA NAVIGATION,False,25.682
MBTO,714999990.0,Lebih dari 5%,PT MARTHANA MEGAHAYU INTI,True,66.82
MCAS,157095200.0,Lebih dari 5%,PT 1 Inti Dot Com,False,18.1
MCOR,22751563707.0,Lebih dari 5%,CHINA CONSTRUCTION BANK CORPORATION,True,60.0
MDIA,35293863400.0,Lebih dari 5%,PT Visi Media Asia Tbk.,True,89.99
MDKA,2948833595.0,Lebih dari 5%,PT Mitra Daya Mustika,False,13.466
MDKI,1702236500.0,Lebih dari 5%,PT Emde Industri Investama,True,67.3
MDLN,932515707.0,Lebih dari 5%,AA LAND PTE LTD,True,7.44
MDRN,1608446427.0,Lebih dari 5%,BUKIT HEDAMA PERMAI,True,21.07
MEDC,8959891262.0,Lebih dari 5%,PT MEDCO DAYA ABADI LESTARI,True,50.0
MEGA,4040231622.0,Lebih dari 5%,PT. Mega Corpora,True,58.018
MERK,331483000.0,Lebih dari 5%,Merck Holding GmbH,True,74.0
META,13220263850.0,Lebih dari 5%,"Metro Pacific Tollways Indonesia, PT",True,74.65
MFIN,134000000.0,Lebih dari 5%,Alex Hendrawan,True,5.05
MFMI,499919900.0,Lebih dari 5%,PT SURYA CIPTA INVESTAMA,True,65.99
MGNA,70500000.0,Lebih dari 5%,PT. GMT Investama Mandiri,False,7.028
MGRO,1991490100.0,Lebih dari 5%,PT Mahkota Global Investama,True,56.0281
MICE,268833618.0,Lebih dari 5%,PT Buana Graha Utama,True,44.81
MIDI,2499552500.0,Lebih dari 5%,"Sumber Alfaria Trijaya, Tbk PT",True,86.72
MIKA,8812954200.0,Lebih dari 5%,PT Griyainsani Cakrasadaya,True,61.86
MINA,835766100.0,Lebih dari 5%,Edy Suwarno,True,12.73
MIRA,462105014.0,Lebih dari 5%,"Intikencana Pranajati,PT",True,11.67
MITI,689870383.0,Lebih dari 5%,Interra Resources Limited,False,48.87
MKNT,2306297562.0,Lebih dari 5%,Monjess Investama PT,True,46.13
MKPI,449861650.0,Lebih dari 5%,PT Karuna Paramita propertindo,True,47.44
MLBI,1723151000.0,Lebih dari 5%,HEINEKEN INTERNATIONAL B.V.,True,81.78
MLIA,548347064.0,Lebih dari 5%,EKA GUNATAMA MANDIRI,True,41.45
MLPL,11430066906.0,Lebih dari 5%,Inti Anugerah Pratama,True,78.08
MLPT,1630250000.0,Lebih dari 5%,PT Multipolar Tbk.,True,87.0
MMLP,1436535900.0,Lebih dari 5%,PT MEGA MANDIRI PROPERTI,True,20.852
MNCN,6967133504.0,Lebih dari 5%,PT Global Mediacom Tbk,True,55.94
MOLI,1199634393.0,Lebih dari 5%,PT Cropsco Panen Indonusa,True,51.38
MPMX,303338347.0,Lebih dari 5%,Claris Investments Pte. Ltd.,False,6.797
MPOW,457517641.0,Lebih dari 5%,Bina Puri Power Sdn. Bhd.,True,56.0
MPPA,1298439000.0,Lebih dari 5%,DBS Bank Ltd S/A  PT Multipolar Tbk,True,17.0
MPRO,3380000000.0,Lebih dari 5%,Jonathan Tahir,True,33.995
MRAT,305002000.0,Lebih dari 5%,PT Mustika Ratu Investama,True,71.262
MREI,106012136.0,Lebih dari 5%,PT GRAHA SENTOSA PERSADA,True,20.47
MSIN,3641999990.0,Lebih dari 5%,PT Media Nusantara Citra Tbk,True,70.08
MSKY,9163740798.0,Lebih dari 5%,PT MNC Vision Networks Tbk,True,91.9
MTDL,178082900.0,Lebih dari 5%,Sukarto Bujung,False,7.253
MTFN,6720000000.0,Lebih dari 5%,Express Profitable Investment ,True,21.104
MTLA,2809801303.0,Lebih dari 5%,PT. METROPOLITAN PERSADA INTERNASIONAL,True,36.7
MTPS,713476000.0,Lebih dari 5%,PT Anugerah Perkasa Semesta,True,34.222
MTRA,594000000.0,Lebih dari 5%,PT Mitra Ditosam Indonesia,True,77.14
MTSM,80396044.0,Lebih dari 5%,PT. Yakin Wiskon,True,34.53
MTWI,241938250.0,Lebih dari 5%,PT Batavia Prosperindo Finance Tbk.,False,15.86
MYOH,312776250.0,Lebih dari 5%,"Low, Tuck Kwong",False,14.18
MYOR,7363121900.0,Lebih dari 5%,UNITA BRANINDO,True,32.93
MYRX,4682557200.0,Lebih dari 5%,PT. ASABRI (Persero),False,5.401
MYTX,5814374802.0,Lebih dari 5%,PT INDAH JAYA INVESTAMA,True,75.05
NASA,4700600000.0,Lebih dari 5%,PT Sinar Cemerlang Jayaraya,True,42.71
NATO,1005000000.0,Lebih dari 5%,PT Sukses Makmur Jayapratama,False,12.561
NELY,1995000000.0,Lebih dari 5%,PT.Haskojaya Abadi,True,84.894
NFCX,101371400.0,Lebih dari 5%,PT Kresna Jubileum Indonesia,False,15.21
NICK,413140600.0,Lebih dari 5%,PT Indovest Central,True,63.44
NIKL,507096150.0,Lebih dari 5%,PT Krakatau Steel (Persero),False,20.1
NIPS,,,,,
NIRO,11321426619.0,Lebih dari 5%,UOB KAY HIAN (HONG KONG) LTD (PLEDGE ACCOUNT),True,51.0
NISP,19521391224.0,Lebih dari 5%,OCBC Overseas Investments Pte. Ltd. - Non Pledged,True,85.08
NOBU,1000000000.0,Lebih dari 5%,PT Kharisma Buana Nusantara,True,22.53
NRCA,1581372800.0,Lebih dari 5%,PT Surya Semesta Internusa TBK ,True,63.35
NUSA,504654000.0,Lebih dari 5%,Yongki Teja,False,6.554
NZIA,758000000.0,Lebih dari 5%,PT Ristia Bintang Mahkota Sejati Tbk. (RBMS),True,34.5
OASA,145183450.0,Lebih dari 5%,PT Indovest Central,True,40.49
OCAP,21843000.0,Lebih dari 5%,HARDJANTO A.,False,8.0
OKAS,918304978.0,Lebih dari 5%,PT Multi Berkat Energi,True,52.0013
OMRE,1146644372.0,Lebih dari 5%,First Pacific Capital Group Limited,True,65.71
OPMS,597900000.0,Lebih dari 5%,PT Asian Perkasa Indosteel,True,59.79
PADI,346009695.0,Lebih dari 5%,Eveline Listijosuputro,True,3.06
PALM,3194909019.0,Lebih dari 5%,PT Saratoga Sentra Business,True,44.875
PAMG,2400000000.0,Lebih dari 5%,Christopher Sumasto Tjia,True,76.8
PANI,110000000.0,Lebih dari 5%,Hendra Hasan Kustardjo,True,26.82
PANR,770964423.0,Lebih dari 5%,PT Panorama Tirta Anugerah,True,64.25
PANS,208800000.0,Lebih dari 5%,PT Bank Pan Indonesia Tbk,False,29.0
PBID,1400000000.0,Lebih dari 5%,PT Alphen Internasional,True,74.67
PBRX,1036857200.0,Lebih dari 5%,PT. Ganda Sawit Utama,False,16.005
PBSA,692354850.0,Lebih dari 5%,PT Ascend Bangun Persada,True,46.157
PCAR,58360000.0,Lebih dari 5%,PT Bahari Istana Alkausar,False,5.002
PDES,450000000.0,Lebih dari 5%,PT.PANORAMA SENTRAWISATA TBK,True,62.94
PEGE,794891400.0,Lebih dari 5%,Hendra H. Kustarjo,True,28.05
PEHA,476901860.0,Lebih dari 5%,PT Kimia Farma Tbk,True,56.774
PGAS,13809038755.0,Lebih dari 5%,PT Pertamina (Persero),True,56.964
PGJO,54218750.0,Lebih dari 5%,Claudia Ingkiriwang,True,17.7
PGLI,228500000.0,Lebih dari 5%,"Alami Lestari Investindo, PT",True,46.82
PGUN,2049180000.0,Lebih dari 5%,PT Araya Agro Lestari,True,41.0
PICO,189533208.0,Lebih dari 5%,PT CITRAJAYA PERKASAMULIA,True,33.346
PJAA,288099999.0,Lebih dari 5%,PT Pembangunan Jaya,True,18.01
PKPK,215710148.0,Lebih dari 5%,Ir. Soerjadi Soedarsono,True,35.95
PLAN,599462500.0,Lebih dari 5%,PT Wahana Tata Bangun,True,67.14
PLAS,85000000.0,Lebih dari 5%,Credit Suisse Securities (Europe) Limited - 94644000,True,7.18
PLIN,3429674130.0,Lebih dari 5%,PT Plaza Indonesia Investama,True,96.61
PMJS,9792000000.0,Lebih dari 5%,PT Pahalamas Sejahtera,True,71.19
PNBN,11089071285.0,Lebih dari 5%,PT. PANIN FINANCIAL Tbk      ,True,46.04
PNBS,12865796875.0,Lebih dari 5%,PT Bank Panin Tbk,True,53.7
PNGO,139000000.0,Lebih dari 5%,Tn. Charles Sutantio,True,17.79
PNIN,1208583000.0,Lebih dari 5%,PT Paninkorp,True,29.71
PNLF,20006483760.0,Lebih dari 5%,PT Paninvest Tbk,True,62.48
PNSE,444396400.0,Lebih dari 5%,PT. ISTANA KUTA RATU PRESTIGE,True,55.7
POLA,2543654899.0,Lebih dari 5%,PT Pool Advista Indonesia Tbk.,True,75.94
POLI,1145000000.0,Lebih dari 5%,Po Sun Kok,True,56.95
POLL,7070001000.0,Lebih dari 5%,PT. Borneo Melawai Perkasa,True,84.99
POLU,599960000.0,Lebih dari 5%,PT Profashion Apparel,False,79.99
POLY,1443805382.0,Lebih dari 5%,Damiano Investments BV,True,57.85
POOL,0.0,Lebih dari 5%,.,False,0.0
PORT,2084075127.0,Lebih dari 5%,PT Episenta Utama Investasi,True,74.1
POSA,5683860000.0,Lebih dari 5%,PT Bintang Baja Hitam,True,67.7548
POWR,4285064945.0,Lebih dari 5%,PT Pentakencana Pakarperdana,True,26.64
PPGL,599500000.0,Lebih dari 5%,Darmawan Suryadi SM,True,79.93
PPRE,7871480000.0,Lebih dari 5%,PT PP (Persero) Tbk ,True,76.99
PPRO,40063119098.0,Lebih dari 5%,PT PP (Persero) Tbk,True,64.96
PRAS,379043478.0,Lebih dari 5%,ENMARU INTERNATIONAL,True,54.07
PRDA,534375000.0,Lebih dari 5%,PT Prodia Utama,True,57.0
PRIM,2190480000.0,Lebih dari 5%,dr. I Nyoman Ehrich Lister,True,64.58
PSAB,24475500000.0,Lebih dari 5%,Jimmy Budiarto,True,92.5
PSDN,689744545.0,Lebih dari 5%,PT. PRASIDHA,True,47.9
PSGO,1600000000.0,Lebih dari 5%,Budiono Tanbun,False,8.49
PSKT,1104675000.0,Lebih dari 5%,Crio,False,11.0
PSSI,2466063800.0,Lebih dari 5%,PT Indoprima Marine,True,45.524
PTBA,7595650695.0,Lebih dari 5%,"INDONESIA ASAHAN ALUMINIUM (PERSERO), PT",True,65.93
PTIS,450165300.0,Lebih dari 5%,Straits Corporation Pte. Ltd.,True,81.8236
PTPP,3161947836.0,Lebih dari 5%,NEGARA REPUBLIK INDONESIA,True,51.0
PTPW,316500000.0,Lebih dari 5%,Ir. Paulus Kurniawan Koesoemowidagdo,True,36.04
PTRO,704014200.0,Lebih dari 5%,PT Indika Energy Tbk,True,69.801
PTSN,3532500000.0,Lebih dari 5%,Abidin,True,66.47
PTSP,12946320.0,Lebih dari 5%,BANK OF SINGAPORE LIMITED-2048834001,False,5.86
PUDP,73895508.0,Lebih dari 5%,Lenawati Pudjiadi ,False,22.42
PURA,1081215000.0,Lebih dari 5%,PT Igelcorp Nusantara Capital,True,20.32
PURE,989900000.0,Lebih dari 5%,PT Trinitan Resourcetama Indonesia,True,74.24
PURI,768000000.0,Lebih dari 5%,PT Bumi Kreasi Baru,True,76.8
PWON,33077598400.0,Lebih dari 5%,PAKUWON ARTHANIAGA,True,68.68
PYFA,254736579.0,Lebih dari 5%,REJUVE GLOBAL INVESTMENT PTE LTD,True,47.6072
PZZA,1957933250.0,Lebih dari 5%,PT Sriboga Raturaya,True,64.79
RAJA,440512000.0,Lebih dari 5%,Johan Lensa,False,10.42
RALS,3965000000.0,Lebih dari 5%,"RAMAYANA MAKMURSENTOSA, PT",False,55.88
RANC,118278000.0,Lebih dari 5%,PT Eka Putri Mandiri,False,7.56
RBMS,1378060918.0,Lebih dari 5%,Richard Wiriahardja,True,51.88
RDTX,101496200.0,Lebih dari 5%,PT. GENO TATAGRAHA,True,37.76
REAL,3099480000.0,Lebih dari 5%,PT Enam Berlian Sinergi,True,46.73
RELI,1556887135.0,Lebih dari 5%,PT Reliance Capital Management,True,86.49
RICY,84095500.0,Lebih dari 5%,Denzin International Ltd,False,13.1
RIGS,490597000.0,Lebih dari 5%,Scomi Marine Services PTE-LTD,True,80.541
RIMO,4769888939.0,Lebih dari 5%,NBS Clients,False,10.581
RISE,8449990000.0,Lebih dari 5%,PT Tancorp Global Sentosa,True,84.92
RMBA,33662737802.0,Lebih dari 5%,British American Tobacco (2009 PCA),True,92.5
ROCK,387499998.0,Komisaris,Po Sun Kok,True,27.0
RODA,3603968900.0,Lebih dari 5%,Nio Yantony,True,26.5151
RONY,550000000.0,Lebih dari 5%,PT Nakula Investama Indonesia,True,44.0
ROTI,1594467000.0,Lebih dari 5%,PT. INDORITEL MAKMUR INTERNASIONAL TBK,False,25.77
RUIS,212018700.0,Lebih dari 5%,Haiyanto,False,27.53
SAFE,478004115.0,Lebih dari 5%,PT Infiniti Wahana,True,77.7069
SAME,4241000000.0,Lebih dari 5%,PT Omni Health Care,True,71.88
SAMF,3806250000.0,Lebih dari 5%,PT Saraswanti Utama,True,74.27
SAPX,398000000.0,Lebih dari 5%,Budiyanto Darmastono,True,47.8
SATU,456250000.0,Lebih dari 5%,PT Kota Satu Indonesia,True,36.5
SBAT,1699950000.0,Lebih dari 5%,Tan Heng Lok,True,80.0
SCCO,61000000.0,Lebih dari 5%,PT TUTULAN SUKMA,True,29.67
SCMA,9020667128.0,Lebih dari 5%,PT Elang Mahkota Teknologi Tbk,True,61.05
SCNP,1125005660.0,Lebih dari 5%,PT Sena Dwimakmur,True,56.25
SCPI,2325350.0,Lebih dari 5%,Merck Sharp & Dohme Corp,True,64.593
SDMU,409654244.0,Lebih dari 5%,Tjoe Mien Sasminto,True,36.08
SDPC,935541534.0,Lebih dari 5%,Pharmaniaga International Corporation Sdn. Bhd.,True,73.43
SDRA,631785585.0,Lebih dari 5%,Arifin Panigoro,False,9.6
SFAN,976936930.0,Lebih dari 5%,PT Surya Fajar Corpora (d/h PT Bumi Tirta Rahayu),True,71.84
SGER,914000000.0,Lebih dari 5%,PT Sumbermas Inti Energi,True,54.93
SGRO,1267217500.0,Lebih dari 5%,Sampoerna Agri Resources PTE LTD,True,67.0
SHID,883951142.0,Lebih dari 5%,"EMPU SAHID HOLDING INTERNATIONAL, PT",True,78.972
SHIP,1219790000.0,Lebih dari 5%,PT Goldenheaven Prima Investama,True,44.85
SIDO,12150000000.0,Lebih dari 5%,PT. Hotel Candi Baru,True,81.0
SILO,761771685.0,Lebih dari 5%,"MEGAPRATAMA KARYA PERSADA, PT.",True,46.86
SIMA,25808000.0,Lebih dari 5%,"YUANTA SECURITIES INDONESIA, PT",False,5.832
SIMP,1035306400.0,Lebih dari 5%,PT Indofood Sukses Makmur Tbk,False,6.55
SINI,274250000.0,Lebih dari 5%,Hendra Hasan Kustarjo,True,60.71
SIPD,1157472265.0,Lebih dari 5%,PT GREAT GIANT PINEAPPLE,True,86.44
SKLT,184980375.0,Lebih dari 5%,OMNISTAR INVESTMENT HOLDINGS LIMITED ,True,26.79
SKRN,350000000.0,Lebih dari 5%,Yafin Tandiono Tan,True,23.33
SKYB,45250000.0,Lebih dari 5%,Syailendra Capital PT,False,7.73
SLIS,1425000000.0,Lebih dari 5%,PT Selis Investama Indonesia,True,71.25
SMAR,2653897571.0,Lebih dari 5%,"PURIMAS SASMITA, PT",True,92.4
SMBR,913172000.0,Lebih dari 5%,Asuransi Jiwasraya,False,9.194
SMCB,7533148888.0,Lebih dari 5%,PT Semen Indonesia Industri Bangunan,True,98.307
SMDM,765354406.0,Lebih dari 5%,Far East Holding Ltd,False,16.04
SMDR,465332060.0,Lebih dari 5%,PT. Ngrumat Bondo Utomo,False,14.21
SMGR,3025406000.0,Lebih dari 5%,Negara Republik Indonesia,True,51.01
SMKL,2722500000.0,Lebih dari 5%,PT Satyamitra Investindo Pratama,True,80.07
SMMA,3255000000.0,Lebih dari 5%,Bank of Singapore Ltd S/A Sinarmas Cakrawala 2048834005,True,51.1176
SMMT,1242156695.0,Lebih dari 5%,PT Mutiara Timur  Pratama,True,39.4335
SMRA,4873915914.0,Lebih dari 5%,PT SEMAROP AGUNG,True,33.78
SMRU,6537292419.0,Lebih dari 5%,"PT Trada Alam Minera, Tbk",True,52.301
SMSM,3347263708.0,Lebih dari 5%,PT Adrindo Inti Perkasa,True,58.13
SOCI,5640000000.0,Lebih dari 5%,PT Soechi Group,True,79.9
SOFA,625000000.0,Lebih dari 5%,Hardy Satya,True,37.88
SOHO,487080805.0,Komisaris,Eng Liang Tan,True,38.38
SONA,38181700.0,Lebih dari 5%,TAHIR,False,11.53
SOSS,169250000.0,Lebih dari 5%,PT Nusantara Suryamukti,True,25.8
SOTS,99000000.0,Lebih dari 5%,Vonny Kristiani,False,9.9
SPMA,665700897.0,Lebih dari 5%,PT. Gloriajaya Gempita,True,31.48
SPOT,0.0,Lebih dari 5%,PT Sofyan Reksagraha,True,0.0
SPTO,810000000.0,Lebih dari 5%,PT Multifortuna Asindo,True,30.0
SQMI,14417015171.0,Lebih dari 5%,Wilton Resources Holding Pte. Ltd.,True,92.79
SRAJ,1155288461.0,Lebih dari 5%,BNYM SA/NV AS CUST OF MINOT LIGHT APAC LTD.- 2039845843,False,9.63
SRIL,12072841076.0,Lebih dari 5%,PT Huddleston Indonesia,False,59.0
SRSN,851685910.0,Lebih dari 5%,BUDHI BERSAUDARA MANUNGGAL,False,14.15
SRTG,583565429.0,Lebih dari 5%,Sandiaga Salahuddin Uno,True,21.51
SSIA,369188000.0,Lebih dari 5%,PT Persada Capital Investama,False,7.85
SSMS,5570430600.0,Lebih dari 5%,PT Citra Borneo Indah,True,58.0
SSTM,403560681.0,Lebih dari 5%,SUNDJONO SURIADI,False,34.47
STAR,1544925000.0,Lebih dari 5%,PT Premium Indonesia,True,32.19
STTP,743600500.0,Lebih dari 5%,PT. SHINDO TIARA TUNGGAL,True,56.76
SUDI,,,,,
SUGI,2857994407.0,Lebih dari 5%,Goldenhill Energy Fund ,True,11.52
SULI,226099600.0,Lebih dari 5%,Deddy Hartawan Jamin,False,5.67
SUPR,290228868.0,Lebih dari 5%,Cahaya Anugerah,False,25.51
SURE,959340000.0,Lebih dari 5%,PT Super Capital Indonesia,True,64.1
SWAT,2331450000.0,Lebih dari 5%,PT Sumber Makmur Lumintu,True,77.22
TAMA,792000100.0,Lebih dari 5%,Alex Widjaja,True,79.2
TAMU,29999900000.0,Lebih dari 5%,PT Andalan Lepas Pantai,True,80.0
TARA,1514019800.0,Lebih dari 5%,PT Surya Buana Makmur ,True,15.0355
TAXI,1094310000.0,Lebih dari 5%,"Rajawali Corpora, PT",False,17.81
TBIG,7643825970.0,Lebih dari 5%,"WAHANA ANUGERAH SEJAHTERA, PT",True,33.737
TBLA,1499929596.0,Lebih dari 5%,PT Sungai Budi,True,28.08
TBMS,155820000.0,Lebih dari 5%,THE FURUKAWA ELECTRIC  CO.LTD,True,42.42
TCID,22858260.0,Lebih dari 5%,PT Asia Jaya Paramita,False,11.36
TCPI,2749999994.0,Lebih dari 5%,PT Sari Nusantara Gemilang,True,55.0
TDPM,7602265670.0,Lebih dari 5%,DH Corporation Ltd (dahulu bernama Royal Chemie Corporation Limited),True,72.5
TEBE,505176210.0,Lebih dari 5%,PT Prima Mineral Utama,True,39.31
